10 	  1730320	8544786	8846880	38384160 
12 	  2140994	10700550	14315232	64121472 
14 	  2593940	13088186	22135232	101579744 
16 	  3089158	15707694	32935808	154021376 
18 	  3680720	18775362	47636928	225983520 
20 	  4264802	21875894	66868000	320951680 
22 	  4891156	25208298	91487968	443440096 
24 	  5559782	28772574	122430528	598372608 
26 	  6278456	32599826	160749056	791262368 
28 	  7032058	36629574	207491424	1027711104 
30 	  7827932	40891194	263816160	1313873760 
